Sequence	Score	Caffeine	Sleep
meaningful	18	no	7
meaningless	8	yes	7.67
meaningless	21	no	7.5
meaningless	15	no	6.5
meaningful	3	no	7.83
meaningless	14	no	9
meaningless	7	no	7
meaningful	24	no	8
meaningless	14	yes	6.5
meaningful	18	yes	5
meaningful	3	no	8
meaningless	4	yes	6
meaningful	18	yes	6
meaningful	17	yes	5
meaningful	21	yes	6
meaningful	30	no	6.5
meaningless	14	yes	5.5
meaningful	15	yes	8
meaningful	18	no	7.5
meaningless	7	yes	6
meaningless	17	yes	7
meaningful	11	yes	8.167
meaningful	9	yes	7
meaningless	7	yes	7.75
meaningless	14	yes	8
meaningless	14	yes	8
