Income,Sex
25000,M
49000,M
63000,M
99000,M
105000,M
63000,M
40800,M
45000,M
45000,M
70000,M
86000,M
150000,M
108000,M
130000,M
7200,M
87000,M
12000,M
13000,M
90000,M
29000,M
3000,M
110000,M
115000,M
77172,M
120000,M
13305,M
27000,M
46736,M
8000,M
10000,M
60002,M
55000,M
9900,M
1800,M
65000,M
95000,M
6700,M
40000,M
40000,M
120000,M
125000,M
120000,M
120000,M
28000,M
144000,M
91000,M
46000,M
15000,M
105000,M
1.00E+05,M
38000,M
50000,M
30000,M
1.00E+05,M
70000,M
1.00E+05,M
61000,M
1.00E+05,M
52000,M
105000,M
1.00E+05,M
70000,M
95000,M
40000,M
142000,M
140000,M
88000,M
57000,M
65000,M
115000,M
63000,M
125000,M
48000,M
75000,M
19100,M
72000,M
46800,M
150000,M
34000,M
7000,M
107000,M
42000,M
48000,M
35200,M
40000,M
120000,M
23000,M
35000,M
65000,M
80000,M
70000,M
150000,M
98300,M
20800,M
54000,M
130000,M
52000,M
51000,M
70000,M
50000,M
64995,M
36000,M
120000,M
89000,M
108000,M
13700,M
50000,M
40000,M
1.00E+05,M
32000,M
43000,M
55000,M
75000,M
107000,M
55000,M
100100,M
65000,M
60000,M
93000,M
50000,M
24000,M
28000,M
130000,M
130000,M
80000,M
65000,M
85000,M
30000,M
91000,M
25000,M
8000,M
30000,M
42600,M
16000,M
97000,M
1.00E+05,M
56000,M
90000,M
46736,M
36500,M
90000,M
70000,M
55000,M
49000,M
38500,M
150000,M
6136,M
72000,M
8000,M
29000,M
76000,M
75000,M
56000,M
94000,M
15000,M
1.00E+05,M
115000,M
80000,M
800,M
75000,M
20000,M
58000,M
35000,M
60000,M
19200,M
22000,M
58000,M
35000,M
97000,M
40000,M
89000,M
50600,M
104000,M
50000,M
92000,M
50000,M
90000,M
90000,M
55000,M
87000,M
1.00E+05,M
60000,M
90000,M
65000,M
70000,M
62000,M
75000,M
42000,M
85000,M
58000,M
30000,M
95000,M
101000,M
25000,M
140000,M
82000,M
24000,M
45000,M
60000,M
45000,M
47000,M
2500,M
60000,M
150000,M
44000,M
1.00E+05,M
65000,M
42500,M
24000,M
50000,M
26000,M
48000,M
137000,M
6000,M
102000,M
66000,M
120000,M
40000,M
55000,M
92000,M
13160,M
70000,M
59000,M
80000,M
32000,M
80000,M
54000,M
85000,M
55000,M
37000,M
69000,M
110000,M
50000,M
45000,M
82000,M
80000,M
37000,M
90000,M
95000,M
80000,M
35000,M
42000,M
5198,M
25000,M
120000,M
70000,M
135000,M
55000,M
25000,M
84000,M
90000,M
42018,M
32000,M
65000,M
43000,M
49500,M
130000,M
40000,M
40000,M
45000,M
38000,M
67000,M
91000,M
1.00E+05,M
80000,M
107000,M
80000,M
80000,M
6000,M
67000,M
80000,M
1.00E+05,M
46295,M
65000,M
70000,M
40000,M
35000,M
43000,M
75000,M
35000,M
39988,M
90000,M
1.00E+05,M
120000,M
50000,M
42002,M
40000,M
81600,M
4600,M
24000,M
125000,M
85000,M
22000,M
47000,M
76000,M
65000,M
35000,M
32000,M
56000,M
110000,M
45000,M
130000,M
2500,M
65000,M
30000,M
30000,M
120000,M
75000,M
34688,M
25000,M
28000,M
38000,M
5000,M
1.00E+05,M
90000,M
46000,M
42000,M
80000,M
70000,M
60000,M
80500,M
25000,M
60000,M
18000,M
40500,M
120000,M
128000,M
115000,M
150000,M
70000,M
22000,M
72000,M
68000,M
124000,M
54000,M
1.00E+05,M
42000,M
106000,M
25000,M
