Income,Age,Sex,Race,Education,MaritalStatus,Employed
25000,78,M,White,Bachelors,Divorced,Yes
49000,62,M,White,Bachelors,Divorced,Yes
63000,28,M,White,Bachelors,Divorced,Yes
99000,47,M,Asian,Bachelors,Married,Yes
105000,50,M,White,Bachelors,Married,Yes
63000,53,M,Black,Bachelors,Married,Yes
40800,44,M,White,Bachelors,Married,Yes
45000,47,M,Asian,Bachelors,Married,Yes
45000,37,M,White,Bachelors,Married,Yes
70000,67,M,Black,Bachelors,Married,Yes
86000,40,M,White,Bachelors,Married,Yes
150000,45,M,Hispanic,Bachelors,Married,Yes
108000,32,M,Asian,Bachelors,Married,Yes
130000,28,M,Hispanic,Bachelors,Never Married,Yes
7200,54,M,White,Bachelors,Married,Yes
87000,34,M,Black,Bachelors,Separated,Yes
12000,45,M,White,Bachelors,Married,Yes
13000,57,M,White,Bachelors,Never Married,Yes
90000,34,M,White,Bachelors,Married,Yes
29000,49,M,White,Bachelors,Married,Yes
3000,23,M,White,Bachelors,Never Married,Yes
110000,35,M,Hispanic,Bachelors,Married,Yes
115000,31,M,White,Bachelors,Never Married,Yes
77172,41,M,White,Bachelors,Married,Yes
120000,42,M,White,Bachelors,Married,Yes
13305,57,M,White,Bachelors,Married,Yes
27000,22,M,White,Bachelors,Never Married,Yes
46736,29,M,White,Bachelors,Married,Yes
8000,30,M,White,Bachelors,Married,Yes
10000,25,M,White,Bachelors,Never Married,No
60002,24,M,Hispanic,Bachelors,Never Married,Yes
55000,35,M,White,Bachelors,Married,Yes
9900,37,M,White,Bachelors,Divorced,Yes
1800,28,M,White,Bachelors,Never Married,Yes
65000,33,M,White,Bachelors,Divorced,Yes
95000,26,M,Black,Bachelors,Never Married,Yes
6700,59,M,White,Bachelors,Divorced,Yes
40000,40,M,White,Bachelors,Married,Yes
40000,68,M,Other,Bachelors,Married,Yes
120000,47,M,White,Bachelors,Married,Yes
125000,52,M,White,Bachelors,Divorced,Yes
120000,51,M,White,Bachelors,Married,Yes
120000,55,M,White,Bachelors,Married,Yes
28000,25,M,White,Bachelors,Never Married,Yes
144000,56,M,Hispanic,Bachelors,Divorced,Yes
